Neighborhood,Year,Num of Total Incidents,Num of Assaults,Num of Burglaries,Num of Disorderly Conduct Offenses,Num of Drug/Narcotic Offenses,Num of Fraud Offenses,Num of Larceny/Theft Offenses,Num of Malicious Mischief Offenses,Number of Missing Persons,Num of Motor Vehicle Thefts,Num of Non-Criminal Offenses,Num of Robberies,Num of Suspicious Occ,Num of Vandalism Offenses,Num of Warrants,Num of Weapons Offenses,Num of Severity Category 0,Num of Severity Category 1,Num of Severity Category 2,Num of Severity Category 3,Num of Pit Stops,Location Coordinates,Latitude,Longitude,Location ID
Tenderloin,2011,7226,772,117,107,1164,141,863,0,76,53,876,203,344,156,621,70,2163,2392,100,2571,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2012,60920,5265,2730,337,2844,1210,13696,0,1468,2813,7463,1733,2539,3375,2731,624,27389,13514,1787,18230,0,,,,
Bayview Hunters Point,2012,4250,523,153,6,263,48,387,0,209,186,371,111,223,236,188,107,1491,1046,249,1464,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2012,1945,161,93,9,68,40,495,0,63,94,267,45,66,156,91,3,918,421,67,539,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2012,4365,253,192,20,54,142,1721,0,34,96,495,112,117,183,141,25,2409,750,53,1153,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2012,638,28,3,0,62,3,191,0,6,17,114,6,32,14,46,2,253,130,8,247,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2012,1256,53,69,11,91,19,207,0,56,69,294,17,50,48,88,12,423,275,60,498,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2012,754,58,81,3,10,16,161,0,30,58,79,10,44,54,16,3,382,154,34,184,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2012,6904,720,206,58,312,130,1290,0,180,289,799,224,257,408,338,87,2885,1679,204,2136,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2012,1391,123,58,7,18,28,484,0,17,43,168,22,65,86,50,14,747,266,22,356,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2012,7203,557,164,26,337,130,1963,0,146,136,1018,231,271,369,487,59,3164,1476,168,2395,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2012,1734,149,115,4,31,71,262,0,50,80,303,22,95,131,49,11,670,397,57,610,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2012,7078,695,150,131,1067,112,977,0,87,68,892,299,262,185,590,93,2302,2237,106,2433,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2013,66892,5460,2751,207,3043,1223,16150,0,1625,2751,9360,1859,2487,3034,3271,630,30175,13504,1964,21249,0,,,,
Bayview Hunters Point,2013,4224,555,134,9,191,29,439,0,113,228,468,106,198,231,234,95,1605,898,154,1567,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2013,2256,185,89,5,94,35,596,0,32,102,379,59,65,115,106,16,1060,435,44,717,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2013,4790,265,249,12,76,115,1938,0,63,72,622,122,147,180,187,10,2695,753,76,1266,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2013,672,26,6,1,54,6,226,0,8,20,104,5,23,40,55,3,287,141,10,234,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2013,1497,61,77,6,85,21,225,0,70,38,455,21,34,59,114,8,440,249,71,737,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2013,788,49,68,3,8,28,190,0,29,52,129,8,27,46,19,1,383,137,32,236,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2013,7939,775,217,59,407,142,1580,0,215,279,991,274,273,366,425,95,3284,1889,248,2518,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2013,1340,131,65,8,15,21,456,0,11,26,206,34,51,67,38,15,728,231,12,369,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2013,8098,537,224,15,422,135,2343,0,215,110,1216,191,301,282,531,80,3533,1625,236,2704,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2013,1638,119,81,4,41,50,297,0,55,98,309,22,70,104,39,14,649,340,64,585,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2013,8144,845,135,46,1055,123,1201,0,90,83,1175,321,311,201,708,91,2728,2273,117,3026,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2014,147017,12170,6033,343,5327,2976,37860,0,3728,7101,19319,3344,5179,7102,6637,1478,69031,27845,3728,46413,3,,,,
Bayview Hunters Point,2014,8933,1172,242,30,355,90,864,0,296,535,791,174,435,536,556,265,3275,2000,296,3362,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2014,4509,372,195,13,157,133,998,0,89,233,844,96,124,194,242,30,1979,818,89,1623,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2014,11674,560,573,13,171,326,4988,0,100,217,1393,225,307,462,414,38,6683,1807,100,3084,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2014,1755,45,9,0,97,27,732,0,25,40,249,13,37,76,102,9,856,276,25,598,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2014,3269,151,154,11,188,47,554,0,98,124,955,37,70,126,246,18,1040,535,98,1596,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2014,1784,94,135,4,20,42,468,0,66,146,231,15,76,96,33,9,881,296,66,541,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2014,16684,1639,548,105,712,338,3172,0,573,790,1956,489,620,686,983,238,7003,3582,573,5526,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2014,3630,285,145,12,59,92,1248,0,55,101,535,82,116,177,132,29,1899,647,55,1029,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2014,17028,1268,473,31,584,275,5845,0,460,323,2351,343,506,784,858,134,8484,2828,460,5256,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2014,4214,262,233,2,54,118,796,0,151,302,727,56,187,308,86,25,1734,842,151,1487,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2014,16419,1899,310,45,1800,293,2729,0,253,246,2353,601,667,520,1275,217,6057,4266,253,5843,3,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2015,90494,9039,4146,341,2833,2148,15670,0,2503,5470,11949,2606,3777,4030,4759,1137,38872,17911,3180,30531,7,,,,
Bayview Hunters Point,2015,6125,828,202,16,243,60,424,0,208,391,612,163,277,286,341,175,2218,1251,317,2339,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2015,2787,268,147,7,70,79,429,0,43,212,500,77,103,136,171,29,1188,531,53,1015,2,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2015,6774,470,324,36,61,278,2101,0,89,208,792,225,236,264,307,42,3405,1310,121,1938,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2015,1101,45,11,6,27,16,402,0,18,44,165,24,22,34,51,5,534,140,26,401,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2015,1654,122,93,15,87,26,178,0,70,130,320,28,62,66,129,10,574,310,76,694,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2015,1156,94,81,4,12,25,169,0,47,117,161,13,45,46,44,5,503,174,60,419,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2015,10866,1263,360,92,383,214,1361,0,301,618,1260,381,485,429,763,215,4289,2379,349,3849,1,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2015,2308,225,87,17,22,78,708,0,28,80,296,53,83,109,107,20,1188,445,37,638,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2015,9337,803,308,40,323,185,2174,0,306,300,1236,238,395,402,603,118,3973,1812,368,3184,1,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2015,2859,232,160,6,35,78,347,0,119,214,563,32,160,128,76,18,1045,523,142,1149,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2015,10123,1310,199,42,1013,230,1346,0,141,161,1365,441,453,307,879,153,3662,2621,204,3636,3,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2016,59159,5434,2273,260,1590,1014,16701,0,1369,2487,7097,1239,2278,3467,2195,608,29106,11432,1670,16951,17,,,,
Bayview Hunters Point,2016,3373,558,97,12,87,30,359,0,73,305,300,84,157,201,145,77,1503,659,134,1077,1,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2016,1718,157,96,6,40,33,386,0,46,102,246,36,82,105,72,11,801,348,53,516,2,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2016,4600,311,187,15,61,132,1733,0,47,102,564,104,142,257,139,37,2487,898,61,1154,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2016,810,25,9,1,30,12,367,0,14,11,109,14,21,40,19,3,435,116,17,242,1,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2016,971,59,50,8,50,16,208,0,43,55,184,11,21,58,53,6,393,185,45,348,1,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2016,843,75,46,3,10,21,230,0,43,44,100,16,30,34,20,5,420,131,46,246,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2016,6718,727,239,68,221,80,1241,0,166,296,734,168,326,372,376,103,2820,1536,184,2178,3,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2016,1763,103,43,4,20,35,821,0,14,26,237,18,53,137,34,13,1024,303,16,420,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2016,7003,552,164,32,268,124,2401,0,151,145,804,120,238,337,346,77,3479,1322,171,2031,2,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2016,1668,137,94,1,13,40,357,0,74,88,260,21,96,103,24,16,736,311,84,537,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2016,5692,719,88,55,470,71,1132,0,92,98,798,201,277,237,382,63,2326,1390,122,1854,7,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2017,69030,6064,2554,173,1482,1155,22499,0,1568,2574,7736,1447,2669,4547,2125,732,36387,12895,1872,17876,20,,,,
Bayview Hunters Point,2017,3601,548,139,7,50,31,470,0,68,268,304,89,176,282,103,96,1653,731,125,1092,1,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2017,2295,219,90,2,34,42,732,0,26,87,298,57,86,189,67,23,1217,443,33,602,2,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2017,5220,369,174,5,37,132,2288,0,50,96,630,131,153,338,160,24,3099,846,61,1214,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2017,904,37,5,1,6,7,472,0,10,36,106,10,24,40,14,0,569,93,16,226,1,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2017,1115,85,58,2,34,18,314,0,37,53,191,16,39,63,35,7,541,190,41,343,1,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2017,852,54,49,3,18,21,249,0,57,34,106,3,39,50,16,4,401,159,62,230,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2017,8234,937,234,54,194,77,2092,0,162,300,819,257,359,532,298,116,3993,1762,184,2295,5,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2017,2201,117,57,8,14,55,1085,0,19,43,249,29,64,155,42,18,1350,382,21,448,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2017,8157,699,203,16,245,114,3074,0,163,178,927,161,317,473,378,79,4445,1457,188,2067,2,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2017,2010,164,88,7,17,58,452,0,221,79,262,26,92,135,16,10,853,374,226,557,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2017,6386,737,97,32,520,99,1420,0,101,113,855,165,316,288,412,110,2640,1638,139,1969,8,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2018,145873,9032,7039,2521,4103,4674,44166,8460,3691,5258,9533,3605,2825,176,5526,1589,69627,32272,11762,32212,21,,,,
Bayview Hunters Point,2018,8188,803,402,219,98,210,1274,616,237,600,484,248,209,10,267,211,3378,2097,881,1832,1,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2018,4519,325,262,91,79,127,1407,291,59,147,262,91,73,8,202,43,2252,869,331,1067,2,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2018,13946,744,871,225,118,532,5650,704,113,246,620,429,221,7,417,98,8007,2493,963,2483,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2018,1621,60,45,14,29,30,621,102,77,54,136,17,37,2,43,9,810,289,152,370,1,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2018,2498,131,108,28,65,69,670,126,96,107,205,19,32,3,113,14,1040,417,175,866,1,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2018,1654,76,97,27,7,76,538,83,116,75,141,10,30,2,32,9,796,307,212,339,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2018,17650,1408,560,368,537,395,4296,980,413,660,1016,460,298,29,970,283,7447,4307,1334,4562,5,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2018,5079,191,154,68,43,138,2609,343,35,97,264,88,55,9,118,32,3142,871,267,799,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2018,13138,969,637,195,660,268,3186,715,322,388,966,396,260,15,741,156,5632,3005,1053,3448,2,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2018,4433,209,248,113,36,283,986,265,409,198,387,42,113,6,65,39,1706,1161,686,880,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2018,15094,1235,357,238,1849,341,2907,570,307,256,1257,472,298,13,1189,197,5281,4342,1063,4408,9,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2019,140813,8848,5944,2820,3670,4525,44095,8616,3300,5314,8973,3426,2839,198,5374,1515,68016,31459,10904,30434,25,,,,
Bayview Hunters Point,2019,8291,753,309,246,87,191,1425,634,203,622,490,266,257,19,317,225,3432,2150,907,1802,1,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2019,4211,342,188,100,86,132,1208,263,48,151,275,82,87,7,240,41,1980,905,302,1024,2,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2019,13121,770,689,165,113,487,5424,842,118,258,566,396,196,9,332,98,7584,2449,873,2215,1,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2019,1508,59,35,11,25,30,615,99,87,46,99,14,28,3,31,4,771,270,165,302,2,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2019,2365,108,99,26,107,72,627,125,74,108,149,27,33,2,116,20,980,484,150,751,1,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2019,1738,68,119,24,9,91,627,149,100,75,109,13,41,3,24,10,905,393,167,273,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2019,15522,1255,460,347,603,373,3698,839,366,510,955,481,289,22,874,273,6452,3897,1133,4040,5,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2019,4293,201,115,61,35,136,2123,284,36,96,232,87,67,6,81,31,2625,761,242,665,1,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2019,12014,969,436,230,597,272,2697,663,324,348,875,311,214,18,869,117,4794,2874,955,3391,2,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2019,3931,184,173,79,28,272,1057,264,176,218,371,58,94,16,69,21,1702,992,387,850,1,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2019,14704,1290,312,258,1456,266,3053,522,347,278,1172,449,337,4,1140,208,5418,3925,1102,4259,9,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2020,77442,4678,5996,1304,1927,2079,19784,5769,1776,4860,4731,1874,1657,217,2275,974,37529,17602,6012,16299,26,,,,
Bayview Hunters Point,2020,5406,517,194,153,48,101,769,391,135,495,251,149,149,7,143,180,2152,1398,688,1168,1,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2020,2475,136,251,23,31,66,679,235,31,150,156,28,42,4,90,15,1257,545,145,528,2,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2020,5455,327,562,80,36,150,1677,504,70,149,282,213,86,8,143,49,2942,1085,306,1122,2,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2020,743,31,29,4,16,15,270,46,55,43,67,12,10,1,6,6,394,116,93,140,2,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2020,1331,52,162,23,30,23,400,104,55,100,74,13,34,4,21,4,733,274,104,220,1,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2020,999,44,103,18,1,31,360,83,22,78,60,5,20,1,11,6,590,194,74,141,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2020,8186,612,519,189,149,157,1647,576,160,524,496,232,146,28,362,166,3587,1908,605,2086,5,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2020,1698,71,142,22,21,45,632,113,24,58,104,38,31,3,44,14,949,318,88,343,1,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2020,6224,530,455,116,257,116,1078,475,145,252,475,176,134,18,318,83,2521,1559,520,1624,2,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2020,2296,103,101,35,7,151,608,151,71,186,171,34,76,12,40,19,1042,595,190,469,1,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2020,7979,722,321,118,1091,104,1099,446,182,246,655,247,183,9,467,113,2657,2437,576,2309,9,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
